black,black,race/ethnicity
african,black,race/ethnicity
slave,black,race/ethnicity
negro,black,race/ethnicity
african-american,black,race/ethnicity
freedman,black,race/ethnicity
freedwoman,black,race/ethnicity
freeman,black,race/ethnicity
mulatto,black,race/ethnicity
nigger,black,race/ethnicity
creole,black,race/ethnicity
africanamerican,black,race/ethnicity
freedperson,black,race/ethnicity
ex-slave,black,race/ethnicity
fugitive,black,race/ethnicity
runaway,black,race/ethnicity
enslaved,black,race/ethnicity
blacks,black,race/ethnicity
africans,black,race/ethnicity
slaves,black,race/ethnicity
negroes,black,race/ethnicity
african-americans,black,race/ethnicity
freedmen,black,race/ethnicity
freedwomen,black,race/ethnicity
freemen,black,race/ethnicity
mulattoes,black,race/ethnicity
niggers,black,race/ethnicity
creoles,black,race/ethnicity
africanamericans,black,race/ethnicity
freedpeople,black,race/ethnicity
ex-slaves,black,race/ethnicity
fugitives,black,race/ethnicity
runaways,black,race/ethnicity
hispanic,hispanic/latinx,race/ethnicity
mexican,hispanic/latinx,race/ethnicity
latino,hispanic/latinx,race/ethnicity
latina,hispanic/latinx,race/ethnicity
mexicano,hispanic/latinx,race/ethnicity
mexican-american,hispanic/latinx,race/ethnicity
chicano,hispanic/latinx,race/ethnicity
panamanian,hispanic/latinx,race/ethnicity
bracero,hispanic/latinx,race/ethnicity
tejano,hispanic/latinx,race/ethnicity
rican,hispanic/latinx,race/ethnicity
hispanics,hispanic/latinx,race/ethnicity
mexicans,hispanic/latinx,race/ethnicity
latinos,hispanic/latinx,race/ethnicity
latinas,hispanic/latinx,race/ethnicity
mexicanos,hispanic/latinx,race/ethnicity
mexican-americans,hispanic/latinx,race/ethnicity
chicanos,hispanic/latinx,race/ethnicity
panamanians,hispanic/latinx,race/ethnicity
braceros,hispanic/latinx,race/ethnicity
tejanos,hispanic/latinx,race/ethnicity
ricans,hispanic/latinx,race/ethnicity
minority,other minority,race/ethnicity
marginalized,other minority,race/ethnicity
tribe,other minority,race/ethnicity
subculture,other minority,race/ethnicity
jew,other minority,race/ethnicity
immigrant,other minority,race/ethnicity
jewish,other minority,race/ethnicity
tribal,other minority,race/ethnicity
caribbean,other minority,race/ethnicity
palestinian,other minority,race/ethnicity
israeli,other minority,race/ethnicity
muslim,other minority,race/ethnicity
nonwhite,other minority,race/ethnicity
non-white,other minority,race/ethnicity
outsider,other minority,race/ethnicity
japanese-american,other minority,race/ethnicity
israelite,other minority,race/ethnicity
gypsy,other minority,race/ethnicity
asian-american,other minority,race/ethnicity
iranian,other minority,race/ethnicity
filipino,other minority,race/ethnicity
refugee,other minority,race/ethnicity
ethnicity,other minority,race/ethnicity
haitian,other minority,race/ethnicity
hebrew,other minority,race/ethnicity
barbadian,other minority,race/ethnicity
foreigner,other minority,race/ethnicity
vietnamese,other minority,race/ethnicity
asian,other minority,race/ethnicity
korean,other minority,race/ethnicity
iraqi,other minority,race/ethnicity
japanese,other minority,race/ethnicity
jamaican,other minority,race/ethnicity
native,other minority,race/ethnicity
indian,other minority,race/ethnicity
mohawk,other minority,race/ethnicity
chickasaw,other minority,race/ethnicity
lakota,other minority,race/ethnicity
savage,other minority,race/ethnicity
huron,other minority,race/ethnicity
cheyenne,other minority,race/ethnicity
mandan,other minority,race/ethnicity
algonquian,other minority,race/ethnicity
sauk,other minority,race/ethnicity
puebloan,other minority,race/ethnicity
powhatan,other minority,race/ethnicity
